Report Date,Summary Indicator,Summary Indicator Value
01/22/2021,Probable Hospitalizations,827
01/22/2021,Total Deaths,"6,002"
01/22/2021,Confirmed Deaths,"5,269"
01/22/2021,Probable Deaths,733
01/22/2021,Number of Outbreaks,"2,145"
01/22/2021,Number of Outbreak Associated Cases,"53,706"
01/22/2021,Number of PCR Testing Encounters,"4,948,485"
01/22/2021,Current 7-Day Percent Positivity,13%
01/22/2021,MIS-C Cases,13
01/22/2021,MIS-C Deaths,0
01/23/2021,Total Cases,"468,655"
01/23/2021,New Cases,"4,904"
01/23/2021,Confirmed Cases,"378,689"
01/23/2021,Probable Cases,"89,966"
01/23/2021,Total Hospitalizations,"20,654"
01/23/2021,Confirmed Hospitalizations,"19,813"
01/23/2021,Probable Hospitalizations,841
01/23/2021,Total Deaths,"6,079"
01/23/2021,Confirmed Deaths,"5,334"
01/23/2021,Probable Deaths,745
01/23/2021,Number of Outbreaks,"2,172"
01/23/2021,Number of Outbreak Associated Cases,"54,435"
01/23/2021,Number of PCR Testing Encounters,"4,977,971"
01/23/2021,Current 7-Day Percent Positivity,12.8%
01/23/2021,MIS-C Cases,13
01/23/2021,MIS-C Deaths,0
01/24/2021,Total Cases,"472,447"
01/24/2021,New Cases,"3,792"
01/24/2021,Confirmed Cases,"381,441"
01/24/2021,Probable Cases,"91,006"
01/24/2021,Total Hospitalizations,"20,712"
01/24/2021,Confirmed Hospitalizations,"19,871"
01/24/2021,Probable Hospitalizations,841
01/24/2021,Total Deaths,"6,078"
01/24/2021,Confirmed Deaths,"5,361"
01/24/2021,Probable Deaths,717
01/24/2021,Number of Outbreaks,"2,184"
01/24/2021,Number of Outbreak Associated Cases,"54,957"
01/24/2021,Number of PCR Testing Encounters,"5,007,050"
01/24/2021,Current 7-Day Percent Positivity,12.6%
01/24/2021,MIS-C Cases,13
01/24/2021,MIS-C Deaths,0
01/25/2021,Total Cases,"478,619"
01/25/2021,New Cases,"6,172"
01/25/2021,Confirmed Cases,"385,892"
01/25/2021,Probable Cases,"92,727"
01/25/2021,Total Hospitalizations,"20,764"
01/25/2021,Confirmed Hospitalizations,"19,917"
01/25/2021,Probable Hospitalizations,847
01/25/2021,Total Deaths,"6,081"
01/25/2021,Confirmed Deaths,"5,363"
01/25/2021,Probable Deaths,718
01/25/2021,Number of Outbreaks,"2,185"
01/25/2021,Number of Outbreak Associated Cases,"54,993"
01/25/2021,Number of PCR Testing Encounters,"5,056,432"
01/25/2021,Current 7-Day Percent Positivity,12.6%
01/25/2021,MIS-C Cases,13
01/25/2021,MIS-C Deaths,0
01/26/2021,Total Cases,"483,326"
01/26/2021,New Cases,"4,707"
01/26/2021,Confirmed Cases,"389,259"
01/26/2021,Probable Cases,"94,067"
01/26/2021,Total Hospitalizations,"20,860"
01/26/2021,Confirmed Hospitalizations,"19,996"
01/26/2021,Probable Hospitalizations,864
01/26/2021,Total Deaths,"6,174"
01/26/2021,Confirmed Deaths,"5,442"
01/26/2021,Probable Deaths,732
01/26/2021,Number of Outbreaks,"2,194"
01/26/2021,Number of Outbreak Associated Cases,"55,613"
01/26/2021,Number of PCR Testing Encounters,"5,079,311"
01/26/2021,Current 7-Day Percent Positivity,12.5%
01/26/2021,MIS-C Cases,14
01/26/2021,MIS-C Deaths,0
01/27/2021,Total Cases,"488,553"
01/27/2021,New Cases,"5,227"
01/27/2021,Confirmed Cases,"392,935"
01/27/2021,Probable Cases,"95,618"
01/27/2021,Total Hospitalizations,"20,986"
01/27/2021,Confirmed Hospitalizations,"20,102"
01/27/2021,Probable Hospitalizations,884
01/27/2021,Total Deaths,"6,228"
01/27/2021,Confirmed Deaths,"5,489"
01/27/2021,Probable Deaths,739
01/27/2021,Number of Outbreaks,"2,202"
01/27/2021,Number of Outbreak Associated Cases,"55,885"
01/27/2021,Number of PCR Testing Encounters,"5,112,697"
01/27/2021,Current 7-Day Percent Positivity,12.3%
01/27/2021,MIS-C Cases,16
01/27/2021,MIS-C Deaths,0
01/28/2021,Total Cases,"493,674"
01/28/2021,New Cases,"5,121"
01/28/2021,Confirmed Cases,"396,440"
01/28/2021,Probable Cases,"97,234"
01/28/2021,Total Hospitalizations,"21,113"
01/28/2021,Confirmed Hospitalizations,"20,215"
01/28/2021,Probable Hospitalizations,898
01/28/2021,Total Deaths,"6,308"
01/28/2021,Confirmed Deaths,"5,566"
01/28/2021,Probable Deaths,742
01/28/2021,Number of Outbreaks,"2,215"
01/28/2021,Number of Outbreak Associated Cases,"56,518"
01/28/2021,Number of PCR Testing Encounters,"5,146,985"
01/28/2021,Current 7-Day Percent Positivity,12.1%
01/28/2021,MIS-C Cases,16
01/28/2021,MIS-C Deaths,0
01/29/2021,Total Cases,"497,912"
01/29/2021,New Cases,"4,238"
01/29/2021,Confirmed Cases,"399,577"
01/29/2021,Probable Cases,"98,335"
01/29/2021,Total Hospitalizations,"21,241"
01/29/2021,Confirmed Hospitalizations,"20,327"
01/29/2021,Probable Hospitalizations,914
01/29/2021,Total Deaths,"6,379"
01/29/2021,Confirmed Deaths,"5,606"
01/29/2021,Probable Deaths,773
01/29/2021,Number of Outbreaks,"2,226"
01/29/2021,Number of Outbreak Associated Cases,"56,710"
01/29/2021,Number of PCR Testing Encounters,"5,180,202"
01/29/2021,Current 7-Day Percent Positivity,12.1%
01/29/2021,MIS-C Cases,16
01/29/2021,MIS-C Deaths,0
01/30/2021,Total Cases,"502,221"
01/30/2021,New Cases,"4,309"
01/30/2021,Confirmed Cases,"402,532"
01/30/2021,Probable Cases,"99,689"
01/30/2021,Total Hospitalizations,"21,377"
01/30/2021,Confirmed Hospitalizations,"20,447"
01/30/2021,Probable Hospitalizations,930
01/30/2021,Total Deaths,"6,449"
01/30/2021,Confirmed Deaths,"5,646"
01/30/2021,Probable Deaths,803
01/30/2021,Number of Outbreaks,"2,252"
01/30/2021,Number of Outbreak Associated Cases,"57,153"
01/30/2021,Number of PCR Testing Encounters,"5,210,235"
01/30/2021,Current 7-Day Percent Positivity,12.1%
01/30/2021,MIS-C Cases,16
01/30/2021,MIS-C Deaths,0
01/31/2021,Total Cases,"504,779"
01/31/2021,New Cases,"2,558"
01/31/2021,Confirmed Cases,"404,469"
01/31/2021,Probable Cases,"100,310"
01/31/2021,Total Hospitalizations,"21,409"
01/31/2021,Confirmed Hospitalizations,"20,474"
01/31/2021,Probable Hospitalizations,935
01/31/2021,Total Deaths,"6,464"
01/31/2021,Confirmed Deaths,"5,657"
01/31/2021,Probable Deaths,807
01/31/2021,Number of Outbreaks,"2,260"
01/31/2021,Number of Outbreak Associated Cases,"57,348"
01/31/2021,Number of PCR Testing Encounters,"5,234,155"
01/31/2021,Current 7-Day Percent Positivity,11.8%
01/31/2021,MIS-C Cases,16
01/31/2021,MIS-C Deaths,0
02/01/2021,Total Cases,"507,640"
02/01/2021,New Cases,"2,861"
02/01/2021,Confirmed Cases,"406,591"
02/01/2021,Probable Cases,"101,049"
02/01/2021,Total Hospitalizations,"21,444"
02/01/2021,Confirmed Hospitalizations,"20,504"
02/01/2021,Probable Hospitalizations,940
02/01/2021,Total Deaths,"6,474"
02/01/2021,Confirmed Deaths,"5,666"
02/01/2021,Probable Deaths,808
02/01/2021,Number of Outbreaks,"2,261"
02/01/2021,Number of Outbreak Associated Cases,"57,388"
02/01/2021,Number of PCR Testing Encounters,"5,261,801"
02/01/2021,Current 7-Day Percent Positivity,11.6%
02/01/2021,MIS-C Cases,16
02/01/2021,MIS-C Deaths,0
02/02/2021,Total Cases,"510,380"
02/02/2021,New Cases,"2,740"
02/02/2021,Confirmed Cases,"408,421"
02/02/2021,Probable Cases,"101,959"
02/02/2021,Total Hospitalizations,"21,516"
02/02/2021,Confirmed Hospitalizations,"20,571"
02/02/2021,Probable Hospitalizations,945
02/02/2021,Total Deaths,"6,517"
02/02/2021,Confirmed Deaths,"5,684"
02/02/2021,Probable Deaths,833
02/02/2021,Number of Outbreaks,"2,276"
02/02/2021,Number of Outbreak Associated Cases,"57,597"
02/02/2021,Number of PCR Testing Encounters,"5,281,726"
02/02/2021,Current 7-Day Percent Positivity,11.5%
02/02/2021,MIS-C Cases,16
02/02/2021,MIS-C Deaths,0
02/03/2021,Total Cases,"513,339"
02/03/2021,New Cases,"2,959"
02/03/2021,Confirmed Cases,"410,550"
02/03/2021,Probable Cases,"102,789"
02/03/2021,Total Hospitalizations,"21,638"
02/03/2021,Confirmed Hospitalizations,"20,676"
02/03/2021,Probable Hospitalizations,962
02/03/2021,Total Deaths,"6,575"
02/03/2021,Confirmed Deaths,"5,712"
02/03/2021,Probable Deaths,863
02/03/2021,Number of Outbreaks,"2,292"
02/03/2021,Number of Outbreak Associated Cases,"57,847"
02/03/2021,Number of PCR Testing Encounters,"5,300,826"
02/03/2021,Current 7-Day Percent Positivity,11.3%
02/03/2021,MIS-C Cases,16
02/03/2021,MIS-C Deaths,0
02/04/2021,Total Cases,"516,398"
02/04/2021,New Cases,"3,059"
02/04/2021,Confirmed Cases,"412,548"
02/04/2021,Probable Cases,"103,850"
02/04/2021,Total Hospitalizations,"21,749"
02/04/2021,Confirmed Hospitalizations,"20,775"
02/04/2021,Probable Hospitalizations,974
02/04/2021,Total Deaths,"6,650"
02/04/2021,Confirmed Deaths,"5,755"
02/04/2021,Probable Deaths,895
02/04/2021,Number of Outbreaks,"2,302"
02/04/2021,Number of Outbreak Associated Cases,"58,296"
02/04/2021,Number of PCR Testing Encounters,"5,316,450"
02/04/2021,Current 7-Day Percent Positivity,11%
02/04/2021,MIS-C Cases,16
02/04/2021,MIS-C Deaths,0
02/05/2021,Total Cases,"521,467"
02/05/2021,New Cases,"5,069"
02/05/2021,Confirmed Cases,"416,189"
02/05/2021,Probable Cases,"105,278"
02/05/2021,Total Hospitalizations,"21,893"
02/05/2021,Confirmed Hospitalizations,"20,905"
02/05/2021,Probable Hospitalizations,988
02/05/2021,Total Deaths,"6,732"
02/05/2021,Confirmed Deaths,"5,816"
02/05/2021,Probable Deaths,916
02/05/2021,Number of Outbreaks,"2,313"
02/05/2021,Number of Outbreak Associated Cases,"58,516"
02/05/2021,Number of PCR Testing Encounters,"5,371,049"
02/05/2021,Current 7-Day Percent Positivity,10.8%
02/05/2021,MIS-C Cases,16
02/05/2021,MIS-C Deaths,0
02/06/2021,Total Cases,"526,176"
02/06/2021,New Cases,"4,709"
02/06/2021,Confirmed Cases,"419,382"
02/06/2021,Probable Cases,"106,794"
02/06/2021,Total Hospitalizations,"22,035"
02/06/2021,Confirmed Hospitalizations,"21,024"
02/06/2021,Probable Hospitalizations,"1,011"
02/06/2021,Total Deaths,"6,773"
02/06/2021,Confirmed Deaths,"5,835"
02/06/2021,Probable Deaths,938
02/06/2021,Number of Outbreaks,"2,327"
02/06/2021,Number of Outbreak Associated Cases,"58,817"
02/06/2021,Number of PCR Testing Encounters,"5,410,417"
02/06/2021,Current 7-Day Percent Positivity,10.3%
02/06/2021,MIS-C Cases,16
02/06/2021,MIS-C Deaths,0
02/07/2021,Total Cases,"529,125"
02/07/2021,New Cases,"2,949"
02/07/2021,Confirmed Cases,"421,466"
02/07/2021,Probable Cases,"107,659"
02/07/2021,Total Hospitalizations,"22,102"
02/07/2021,Confirmed Hospitalizations,"21,083"
02/07/2021,Probable Hospitalizations,"1,019"
02/07/2021,Total Deaths,"6,778"
02/07/2021,Confirmed Deaths,"5,840"
02/07/2021,Probable Deaths,938
02/07/2021,Number of Outbreaks,"2,327"
02/07/2021,Number of Outbreak Associated Cases,"58,868"
02/07/2021,Number of PCR Testing Encounters,"5,437,773"
02/07/2021,Current 7-Day Percent Positivity,10.1%
02/07/2021,MIS-C Cases,16
02/07/2021,MIS-C Deaths,0
02/08/2021,Total Cases,"530,825"
02/08/2021,New Cases,"1,700"
02/08/2021,Confirmed Cases,"422,723"
02/08/2021,Probable Cases,"108,102"
02/08/2021,Total Hospitalizations,"22,167"
02/08/2021,Confirmed Hospitalizations,"21,142"
02/08/2021,Probable Hospitalizations,"1,025"
02/08/2021,Total Deaths,"6,820"
02/08/2021,Confirmed Deaths,"5,874"
02/08/2021,Probable Deaths,946
02/08/2021,Number of Outbreaks,"2,328"
02/08/2021,Number of Outbreak Associated Cases,"59,053"
02/08/2021,Number of PCR Testing Encounters,"5,449,974"
02/08/2021,Current 7-Day Percent Positivity,10.1%
02/08/2021,MIS-C Cases,16
02/08/2021,MIS-C Deaths,0
02/09/2021,Total Cases,"534,116"
02/09/2021,New Cases,"3,291"
02/09/2021,Confirmed Cases,"425,066"
02/09/2021,Probable Cases,"109,050"
02/09/2021,Total Hospitalizations,"22,339"
02/09/2021,Confirmed Hospitalizations,"21,286"
02/09/2021,Probable Hospitalizations,"1,053"
02/09/2021,Total Deaths,"6,898"
02/09/2021,Confirmed Deaths,"5,932"
02/09/2021,Probable Deaths,966
02/09/2021,Number of Outbreaks,"2,333"
02/09/2021,Number of Outbreak Associated Cases,"59,208"
02/09/2021,Number of PCR Testing Encounters,"5,469,777"
02/09/2021,Current 7-Day Percent Positivity,10%
02/09/2021,MIS-C Cases,17
02/09/2021,MIS-C Deaths,0
02/10/2021,Total Cases,"537,319"
02/10/2021,New Cases,"3,203"
02/10/2021,Confirmed Cases,"427,188"
02/10/2021,Probable Cases,"110,131"
02/10/2021,Total Hospitalizations,"22,470"
02/10/2021,Confirmed Hospitalizations,"21,403"
02/10/2021,Probable Hospitalizations,"1,067"
02/10/2021,Total Deaths,"6,932"
02/10/2021,Confirmed Deaths,"5,951"
02/10/2021,Probable Deaths,981
02/10/2021,Number of Outbreaks,"2,353"
02/10/2021,Number of Outbreak Associated Cases,"59,928"
02/10/2021,Number of PCR Testing Encounters,"5,486,136"
02/10/2021,Current 7-Day Percent Positivity,10.1%
02/10/2021,MIS-C Cases,17
02/10/2021,MIS-C Deaths,0
02/11/2021,Total Cases,"541,018"
02/11/2021,New Cases,"3,699"
02/11/2021,Confirmed Cases,"429,779"
02/11/2021,Probable Cases,"111,239"
02/11/2021,Total Hospitalizations,"22,615"
02/11/2021,Confirmed Hospitalizations,"21,522"
02/11/2021,Probable Hospitalizations,"1,093"
02/11/2021,Total Deaths,"6,958"
02/11/2021,Confirmed Deaths,"5,978"
02/11/2021,Probable Deaths,980
02/11/2021,Number of Outbreaks,"2,365"
02/11/2021,Number of Outbreak Associated Cases,"60,250"
02/11/2021,Number of PCR Testing Encounters,"5,518,735"
02/11/2021,Current 7-Day Percent Positivity,10.1%
02/11/2021,MIS-C Cases,17
02/11/2021,MIS-C Deaths,0
02/12/2021,Total Cases,"544,209"
02/12/2021,New Cases,"3,191"
02/12/2021,Confirmed Cases,"432,084"
02/12/2021,Probable Cases,"112,125"
02/12/2021,Total Hospitalizations,"22,718"
02/12/2021,Confirmed Hospitalizations,"21,616"
02/12/2021,Probable Hospitalizations,"1,102"
02/12/2021,Total Deaths,"6,966"
02/12/2021,Confirmed Deaths,"5,988"
02/12/2021,Probable Deaths,978
02/12/2021,Number of Outbreaks,"2,381"
02/12/2021,Number of Outbreak Associated Cases,"60,173"
02/12/2021,Number of PCR Testing Encounters,"5,553,955"
02/12/2021,Current 7-Day Percent Positivity,10%
02/12/2021,MIS-C Cases,17
02/12/2021,MIS-C Deaths,0
02/13/2021,Total Cases,"547,424"
02/13/2021,New Cases,"3,215"
02/13/2021,Confirmed Cases,"434,413"
02/13/2021,Probable Cases,"113,011"
02/13/2021,Total Hospitalizations,"22,846"
02/13/2021,Confirmed Hospitalizations,"21,733"
02/13/2021,Probable Hospitalizations,"1,113"
02/13/2021,Total Deaths,"6,996"
02/13/2021,Confirmed Deaths,"6,010"
02/13/2021,Probable Deaths,986
02/13/2021,Number of Outbreaks,"2,410"
02/13/2021,Number of Outbreak Associated Cases,"60,645"
02/13/2021,Number of PCR Testing Encounters,"5,583,255"
02/13/2021,Current 7-Day Percent Positivity,9.8%
02/13/2021,MIS-C Cases,17
02/13/2021,MIS-C Deaths,0
02/14/2021,Total Cases,"549,999"
02/14/2021,New Cases,"2,575"
02/14/2021,Confirmed Cases,"436,206"
02/14/2021,Probable Cases,"113,793"
02/14/2021,Total Hospitalizations,"22,906"
02/14/2021,Confirmed Hospitalizations,"21,785"
02/14/2021,Probable Hospitalizations,"1,121"
02/14/2021,Total Deaths,"7,012"
02/14/2021,Confirmed Deaths,"6,024"
02/14/2021,Probable Deaths,988
02/14/2021,Number of Outbreaks,"2,413"
02/14/2021,Number of Outbreak Associated Cases,"60,797"
02/14/2021,Number of PCR Testing Encounters,"5,607,650"
02/14/2021,Current 7-Day Percent Positivity,9.5%
02/14/2021,MIS-C Cases,17
02/14/2021,MIS-C Deaths,0
02/15/2021,Total Cases,"551,538"
02/15/2021,New Cases,"1,539"
02/15/2021,Confirmed Cases,"437,262"
02/15/2021,Probable Cases,"114,276"
02/15/2021,Total Hospitalizations,"22,944"
02/15/2021,Confirmed Hospitalizations,"21,819"
02/15/2021,Probable Hospitalizations,"1,125"
02/15/2021,Total Deaths,"7,016"
02/15/2021,Confirmed Deaths,"6,028"
02/15/2021,Probable Deaths,988
02/15/2021,Number of Outbreaks,"2,414"
02/15/2021,Number of Outbreak Associated Cases,"60,863"
02/15/2021,Number of PCR Testing Encounters,"5,622,345"
02/15/2021,Current 7-Day Percent Positivity,9.3%
02/15/2021,MIS-C Cases,17
02/15/2021,MIS-C Deaths,0
02/16/2021,Total Cases,"553,308"
02/16/2021,New Cases,"1,770"
02/16/2021,Confirmed Cases,"438,276"
02/16/2021,Probable Cases,"115,032"
02/16/2021,Total Hospitalizations,"23,042"
02/16/2021,Confirmed Hospitalizations,"21,905"
02/16/2021,Probable Hospitalizations,"1,137"
02/16/2021,Total Deaths,"7,037"
02/16/2021,Confirmed Deaths,"6,047"
02/16/2021,Probable Deaths,990
02/16/2021,Number of Outbreaks,"2,426"
02/16/2021,Number of Outbreak Associated Cases,"61,043"
02/16/2021,Number of PCR Testing Encounters,"5,633,818"
02/16/2021,Current 7-Day Percent Positivity,9.0%
02/16/2021,MIS-C Cases,17
02/16/2021,MIS-C Deaths,0
02/17/2021,Total Cases,"555,592"
02/17/2021,New Cases,"2,284"
02/17/2021,Confirmed Cases,"439,674"
02/17/2021,Probable Cases,"115,918"
02/17/2021,Total Hospitalizations,"23,179"
02/17/2021,Confirmed Hospitalizations,"22,025"
02/17/2021,Probable Hospitalizations,"1,154"
02/17/2021,Total Deaths,"7,075"
02/17/2021,Confirmed Deaths,"6,080"
02/17/2021,Probable Deaths,995
02/17/2021,Number of Outbreaks,"2,434"
02/17/2021,Number of Outbreak Associated Cases,"61,346"
02/17/2021,Number of PCR Testing Encounters,"5,653,212"
02/17/2021,Current 7-Day Percent Positivity,8.9%
02/17/2021,MIS-C Cases,17
02/17/2021,MIS-C Deaths,0
02/18/2021,Total Cases,"557,896"
02/18/2021,New Cases,"2,304"
02/18/2021,Confirmed Cases,"441,200"
02/18/2021,Probable Cases,"116,696"
02/18/2021,Total Hospitalizations,"23,268"
02/18/2021,Confirmed Hospitalizations,"22,110"
02/18/2021,Probable Hospitalizations,"1,158"
02/18/2021,Total Deaths,"7,090"
02/18/2021,Confirmed Deaths,"6,096"
02/18/2021,Probable Deaths,994
02/18/2021,Number of Outbreaks,"2,516"
02/18/2021,Number of Outbreak Associated Cases,"61,288"
02/18/2021,Number of PCR Testing Encounters,"5,679,834"
02/18/2021,Current 7-Day Percent Positivity,8.0%
02/18/2021,MIS-C Cases,18
02/18/2021,MIS-C Deaths,0
02/19/2021,Total Cases,"559,930"
02/19/2021,New Cases,"2,034"
02/19/2021,Confirmed Cases,"442,757"
02/19/2021,Probable Cases,"117,173"
02/19/2021,Total Hospitalizations,"23,369"
02/19/2021,Confirmed Hospitalizations,"22,200"
02/19/2021,Probable Hospitalizations,"1,169"
02/19/2021,Total Deaths,"7,098"
02/19/2021,Confirmed Deaths,"6,107"
02/19/2021,Probable Deaths,991
02/19/2021,Number of Outbreaks,"2,534"
02/19/2021,Number of Outbreak Associated Cases,"61,994"
02/19/2021,Number of PCR Testing Encounters,"5,703,634"
02/19/2021,Current 7-Day Percent Positivity,8.0%
02/19/2021,MIS-C Cases,18
02/19/2021,MIS-C Deaths,0
02/20/2021,Total Cases,"561,812"
02/20/2021,New Cases,"1,882"
02/20/2021,Confirmed Cases,"444,150"
02/20/2021,Probable Cases,"117,662"
02/20/2021,Total Hospitalizations,"23,436"
02/20/2021,Confirmed Hospitalizations,"22,268"
02/20/2021,Probable Hospitalizations,"1,168"
02/20/2021,Total Deaths,"7,197"
02/20/2021,Confirmed Deaths,"6,198"
02/20/2021,Probable Deaths,999
02/20/2021,Number of Outbreaks,"2,543"
02/20/2021,Number of Outbreak Associated Cases,"62,193"
02/20/2021,Number of PCR Testing Encounters,"5,728,208"
02/20/2021,Current 7-Day Percent Positivity,8.1%
02/20/2021,MIS-C Cases,18
02/20/2021,MIS-C Deaths,0
02/21/2021,Total Cases,"564,115"
02/21/2021,New Cases,"2,303"
02/21/2021,Confirmed Cases,"445,808"
02/21/2021,Probable Cases,"118,307"
02/21/2021,Total Hospitalizations,"23,481"
02/21/2021,Confirmed Hospitalizations,"22,309"
02/21/2021,Probable Hospitalizations,"1,172"
02/21/2021,Total Deaths,"7,331"
02/21/2021,Confirmed Deaths,"6,320"
02/21/2021,Probable Deaths,"1,011"
02/21/2021,Number of Outbreaks,0
02/21/2021,Number of Outbreak Associated Cases,"62,241"
02/21/2021,Number of PCR Testing Encounters,"5,749,734"
02/21/2021,Current 7-Day Percent Positivity,8.1%
02/21/2021,MIS-C Cases,18
02/21/2021,MIS-C Deaths,0
02/22/2021,Total Cases,"565,270"
02/22/2021,New Cases,"1,155"
02/22/2021,Confirmed Cases,"446,642"
02/22/2021,Probable Cases,"118,628"
02/22/2021,Total Hospitalizations,"23,530"
02/22/2021,Confirmed Hospitalizations,"22,353"
02/22/2021,Probable Hospitalizations,"1,177"
02/22/2021,Total Deaths,"7,486"
02/22/2021,Confirmed Deaths,"6,445"
02/22/2021,Probable Deaths,"1,041"
02/22/2021,Number of Outbreaks,"2,544"
02/22/2021,Number of Outbreak Associated Cases,"62,543"
02/22/2021,Number of PCR Testing Encounters,"5,762,389"
02/22/2021,Current 7-Day Percent Positivity,8.3%
02/22/2021,MIS-C Cases,18
02/22/2021,MIS-C Deaths,0
02/23/2021,Total Cases,"567,039"
02/23/2021,New Cases,"1,769"
02/23/2021,Confirmed Cases,"447,840"
02/23/2021,Probable Cases,"119,199"
02/23/2021,Total Hospitalizations,"23,698"
02/23/2021,Confirmed Hospitalizations,"22,501"
02/23/2021,Probable Hospitalizations,"1,197"
02/23/2021,Total Deaths,"7,658"
02/23/2021,Confirmed Deaths,"6,590"
02/23/2021,Probable Deaths,"1,068"
02/23/2021,Number of Outbreaks,"2,554"
02/23/2021,Number of Outbreak Associated Cases,"63,007"
02/23/2021,Number of PCR Testing Encounters,"5,778,994"
02/23/2021,Current 7-Day Percent Positivity,8.3%
02/23/2021,MIS-C Cases,25
02/23/2021,MIS-C Deaths,0
02/24/2021,Total Cases,"568,946"
02/24/2021,New Cases,"1,907"
02/24/2021,Confirmed Cases,"449,000"
02/24/2021,Probable Cases,"119,946"
02/24/2021,Total Hospitalizations,"23,798"
02/24/2021,Confirmed Hospitalizations,"22,586"
02/24/2021,Probable Hospitalizations,"1,212"
02/24/2021,Total Deaths,"7,807"
02/24/2021,Confirmed Deaths,"6,712"
02/24/2021,Probable Deaths,"1,095"
02/24/2021,Number of Outbreaks,"2,578"
02/24/2021,Number of Outbreak Associated Cases,"63,709"
02/24/2021,Number of PCR Testing Encounters,"5,799,799"
02/24/2021,Current 7-Day Percent Positivity,8%
02/24/2021,MIS-C Cases,27
02/24/2021,MIS-C Deaths,0
02/25/2021,Total Cases,"570,982"
02/25/2021,New Cases,"2,036"
02/25/2021,Confirmed Cases,"450,388"
02/25/2021,Probable Cases,"120,594"
02/25/2021,Total Hospitalizations,"23,871"
02/25/2021,Confirmed Hospitalizations,"22,654"
02/25/2021,Probable Hospitalizations,"1,217"
02/25/2021,Total Deaths,"7,963"
02/25/2021,Confirmed Deaths,"6,848"
02/25/2021,Probable Deaths,"1,115"
02/25/2021,Number of Outbreaks,"2,588"
02/25/2021,Number of Outbreak Associated Cases,"63,962"
02/25/2021,Number of PCR Testing Encounters,"5,830,467"
02/25/2021,Current 7-Day Percent Positivity,7.7%
02/25/2021,MIS-C Cases,28
02/25/2021,MIS-C Deaths,0
02/26/2021,Total Cases,"572,639"
02/26/2021,New Cases,"1,657"
02/26/2021,Confirmed Cases,"451,539"
02/26/2021,Probable Cases,"121,100"
02/26/2021,Total Hospitalizations,"23,978"
02/26/2021,Confirmed Hospitalizations,"22,753"
02/26/2021,Probable Hospitalizations,"1,225"
02/26/2021,Total Deaths,"8,197"
02/26/2021,Confirmed Deaths,"7,037"
02/26/2021,Probable Deaths,"1,160"
02/26/2021,Number of Outbreaks,"2,606"
02/26/2021,Number of Outbreak Associated Cases,"64,409"
02/26/2021,Number of PCR Testing Encounters,"5,854,653"
02/26/2021,Current 7-Day Percent Positivity,7.4%
02/26/2021,MIS-C Cases,30
02/26/2021,MIS-C Deaths,0
02/27/2021,Total Cases,"574,314"
02/27/2021,New Cases,"1,675"
02/27/2021,Confirmed Cases,"452,664"
02/27/2021,Probable Cases,"121,650"
02/27/2021,Total Hospitalizations,"24,091"
02/27/2021,Confirmed Hospitalizations,"22,855"
02/27/2021,Probable Hospitalizations,"1,236"
02/27/2021,Total Deaths,"8,382"
02/27/2021,Confirmed Deaths,"7,189"
02/27/2021,Probable Deaths,"1,193"
02/27/2021,Number of Outbreaks,0
02/27/2021,Number of Outbreak Associated Cases,"64,611"
02/27/2021,Number of PCR Testing Encounters,"5,879,000"
02/27/2021,Current 7-Day Percent Positivity,7.4%
02/27/2021,MIS-C Cases,31
02/27/2021,MIS-C Deaths,0
02/28/2021,Total Cases,"576,050"
02/28/2021,New Cases,"1,736"
02/28/2021,Confirmed Cases,"453,932"
02/28/2021,Probable Cases,"122,118"
02/28/2021,Total Hospitalizations,"24,115"
02/28/2021,Confirmed Hospitalizations,"22,877"
02/28/2021,Probable Hospitalizations,"1,238"
02/28/2021,Total Deaths,"8,552"
02/28/2021,Confirmed Deaths,"7,334"
02/28/2021,Probable Deaths,"1,218"
02/28/2021,Number of Outbreaks,"2,624"
02/28/2021,Number of Outbreak Associated Cases,"64,775"
02/28/2021,Number of PCR Testing Encounters,"5,902,722"
02/28/2021,Current 7-Day Percent Positivity,7.2%
02/28/2021,MIS-C Cases,31
02/28/2021,MIS-C Deaths,0
03/01/2021,Total Cases,"577,174"
03/01/2021,New Cases,"1,124"
03/01/2021,Confirmed Cases,"454,735"
03/01/2021,Probable Cases,"122,439"
03/01/2021,Total Hospitalizations,"24,158"
03/01/2021,Confirmed Hospitalizations,"22,913"
03/01/2021,Probable Hospitalizations,"1,245"
03/01/2021,Total Deaths,"8,783"
03/01/2021,Confirmed Deaths,"7,530"
03/01/2021,Probable Deaths,"1,253"
03/01/2021,Number of Outbreaks,"2,634"
03/01/2021,Number of Outbreak Associated Cases,"64,875"
03/01/2021,Number of PCR Testing Encounters,"5,915,914"
03/01/2021,Current 7-Day Percent Positivity,7.0%
03/01/2021,MIS-C Cases,31
03/01/2021,MIS-C Deaths,0
03/02/2021,Total Cases,"578,559"
03/02/2021,New Cases,"1,385"
03/02/2021,Confirmed Cases,"455,578"
03/02/2021,Probable Cases,"122,981"
03/02/2021,Total Hospitalizations,"24,258"
03/02/2021,Confirmed Hospitalizations,"23,000"
03/02/2021,Probable Hospitalizations,"1,258"
03/02/2021,Total Deaths,"8,943"
03/02/2021,Confirmed Deaths,"7,674"
03/02/2021,Probable Deaths,"1,269"
03/02/2021,Number of Outbreaks,"2,642"
